-1.097283783783783747e+03,-1.256621621621621614e+02,4.094729729729729570e+03,3.179344000000000000e+06
-1.077250000000000000e+03,-2.116500000000000057e+02,3.936421428571428351e+03,3.212677000000000000e+06
-1.091337349397590287e+03,-3.062228915662650479e+02,3.772246987951807114e+03,3.246011000000000000e+06
-1.095230468750000000e+03,-3.916796875000000000e+02,3.620371093750000000e+03,3.279355000000000000e+06
-1.088778169014084597e+03,-4.769401408450704025e+02,3.471552816901408278e+03,3.312666000000000000e+06
-1.091845433255269427e+03,-5.159718969555035528e+02,3.317332552693208527e+03,3.346011000000000000e+06
-1.084110803324099834e+03,-5.857008310249307215e+02,3.161919667590027530e+03,3.379344000000000000e+06
-1.089395402298850513e+03,-6.211195402298850468e+02,3.007478160919540187e+03,3.412688000000000000e+06
-1.090577696526508134e+03,-6.491316270566727553e+02,2.856023765996343627e+03,3.446011000000000000e+06
-1.085524031007752001e+03,-6.655193798449612359e+02,2.706173643410852492e+03,3.479344000000000000e+06
-1.089135546334716537e+03,-6.769183955739972589e+02,2.549189488243430333e+03,3.512677000000000000e+06
-1.101572727272727207e+03,-6.702303030303030482e+02,2.403476767676767849e+03,3.546011000000000000e+06
-1.081405865657521190e+03,-6.491920529801324165e+02,2.261807947019867697e+03,3.579344000000000000e+06
-1.089424413904607945e+03,-6.310153597413095667e+02,2.105669361358124661e+03,3.612677000000000000e+06
-1.083046817849304944e+03,-6.055961960497439804e+02,1.964403803950256133e+03,3.646011000000000000e+06
-1.078220937700706600e+03,-5.530796403339755898e+02,1.813815028901734195e+03,3.679344000000000000e+06
-1.055762549800796705e+03,-4.937123505976095430e+02,1.686805577689243137e+03,3.712677000000000000e+06
-1.034144230769230717e+03,-4.145192307692307736e+02,1.559091346153846189e+03,3.746011000000000000e+06
